time;codigoSerial;pm25;calidad_pm25;pm10;calidad_pm10;pm1;calidad_pm1;no;calidad_no;no2;calidad_no2;nox;calidad_nox;ozono;calidad_ozono;co;calidad_co;so2;calidad_so2;pst;calidad_pst;dviento_ssr;calidad_dviento_ssr;haire10_ssr;calidad_haire10_ssr;p_ssr;calidad_p_ssr;pliquida_ssr;calidad_pliquida_ssr;rglobal_ssr;calidad_rglobal_ssr;taire10_ssr;calidad_taire10_ssr;vviento_ssr;calidad_vviento_ssr
22/05/2021 21:00;38;13;1;25;1;-9999;1;-9999;1;-9999;1;-9999;1;6.3;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
22/05/2021 22:00;38;17;1;39;1;-9999;1;-9999;1;-9999;1;-9999;1;2.3;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
22/05/2021 23:00;38;20;1;38;1;-9999;1;-9999;1;-9999;1;-9999;1;2.6;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
23/05/2021 0:00;38;9;1;21;1;-9999;1;-9999;1;-9999;1;-9999;1;6.2;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
23/05/2021 1:00;38;8;1;20;1;-9999;1;-9999;1;-9999;1;-9999;1;5.5;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
23/05/2021 2:00;38;5;1;7;1;-9999;1;-9999;1;-9999;1;-9999;1;5.2;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
23/05/2021 3:00;38;7;1;22;1;-9999;1;-9999;1;-9999;1;-9999;1;4;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
23/05/2021 4:00;38;5;1;17;1;-9999;1;-9999;1;-9999;1;-9999;1;4.3;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
23/05/2021 5:00;38;2;1;18;1;-9999;1;-9999;1;-9999;1;-9999;1;3.9;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
23/05/2021 6:00;38;7;1;15;1;-9999;1;-9999;1;-9999;1;-9999;1;3.5;2.3;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1;-9999;1
